user,solution,rating
1,8,2
1,15,4
1,43,2
1,31,4
1,20,2
1,19,2
1,24,4
1,35,2
1,34,4
1,50,2
1,29,4
1,3,4
1,40,2
1,26,4
1,36,2
1,33,4
1,41,2
1,48,4
1,7,2
2,4,4
2,37,2
2,45,4
2,15,2
2,30,4
2,8,2
2,46,4
2,24,4
2,5,4
2,27,2
2,50,2
2,16,4
2,48,2
2,17,4
2,6,2
2,1,2
2,43,4
2,3,4
2,28,2
2,39,2
2,14,2
3,36,2
3,30,2
3,28,2
3,19,4
3,35,2
3,7,2
3,15,4
3,18,2
3,20,4
3,42,2
3,31,2
3,48,4
3,43,2
3,25,4
3,2,2
3,9,4
4,43,4
4,38,2
4,2,4
4,15,2
4,3,4
4,9,2
4,22,4
4,39,2
4,31,4
4,27,2
4,19,4
4,30,2
4,41,4
4,11,2
4,8,4
4,26,4
4,48,4
4,23,2
4,12,2
4,14,4
5,21,2
5,44,4
5,19,2
5,15,2
5,45,4
5,24,4
5,47,2
5,49,2
5,30,2
5,12,2
5,16,2
5,40,2
5,48,4
5,46,2
5,36,4
5,31,4
5,39,2
5,9,4
5,20,2
5,11,4
6,27,2
6,43,4
6,50,2
6,23,4
6,11,2
6,34,4
6,6,2
6,42,4
6,5,2
6,10,4
6,47,4
6,37,4
6,38,2
6,3,2
6,18,4
6,12,2
6,2,4
6,32,2
6,19,2
6,25,4
7,18,4
7,16,2
7,12,2
7,20,2
7,39,2
7,45,2
7,13,2
7,40,4
7,41,2
7,47,2
7,3,4
7,50,2
7,25,4
7,31,2
7,30,2
7,27,4
7,15,2
7,48,4
8,19,2
8,44,4
8,32,4
8,46,2
8,13,4
8,38,2
8,24,4
8,1,2
8,6,4
8,48,2
8,8,4
8,10,2
8,23,4
8,5,2
8,29,4
8,35,2
8,9,4
8,27,4
8,41,4
8,28,2
8,49,2
8,39,4
9,12,2
9,16,4
9,26,2
9,15,2
9,24,4
9,6,4
9,8,2
9,27,2
9,4,2
9,37,2
9,30,2
9,10,4
9,31,2
9,36,4
9,41,4
9,32,2
9,13,4
9,35,2
9,40,4
9,47,2
9,44,4
10,14,2
10,39,4
10,10,2
10,50,4
10,44,2
10,47,4
10,40,2
10,18,4
10,8,4
10,16,4
10,17,2
10,31,2
10,48,4
10,32,2
10,45,4
10,11,4
10,13,2
10,23,2
10,38,2
10,46,2
10,9,2
10,20,4
10,49,2
11,38,4
11,4,4
11,1,2
11,25,4
11,50,2
11,36,4
11,9,2
11,29,4
11,15,2
11,42,4
11,40,2
11,48,2
11,19,4
11,17,2
11,45,4
11,34,2
11,3,4
11,8,4
11,13,2
11,11,4
11,21,2
11,49,4
11,14,2
12,20,4
12,26,2
12,34,4
12,27,2
12,5,4
12,49,2
12,38,4
12,36,2
12,21,4
12,39,4
12,14,4
12,43,2
12,15,2
12,30,4
12,23,2
12,3,4
12,22,2
13,31,2
13,49,4
13,45,4
13,28,2
13,25,2
13,7,2
13,4,2
13,32,2
13,29,2
13,40,4
13,43,2
13,20,2
13,19,4
13,39,2
13,17,4
13,2,2
13,11,2
13,50,4
13,33,2
13,6,4
13,21,2
14,13,4
14,2,4
14,10,2
14,20,4
14,44,2
14,30,4
14,23,2
14,11,4
14,8,2
14,21,4
14,47,2
14,9,4
14,38,2
14,35,4
14,26,2
14,14,4
14,15,4
14,16,4
14,7,2
14,19,2
14,32,4
14,12,2
15,50,4
15,49,2
15,3,2
15,43,4
15,46,4
15,15,2
15,12,2
15,35,2
15,2,2
15,22,2
15,33,2
15,14,4
15,26,2
15,45,4
15,9,4
15,5,2
15,40,4
15,13,2
15,6,4
15,48,2
16,2,4
16,28,2
16,12,4
16,44,2
16,31,4
16,40,2
16,43,4
16,3,2
16,17,4
16,32,4
16,9,4
16,35,2
16,23,2
16,14,4
16,41,2
16,21,4
16,7,2
16,50,2
16,25,4
16,18,4
16,22,2
17,34,2
17,5,2
17,45,2
17,10,2
17,18,2
17,4,4
17,11,2
17,17,2
17,32,4
17,25,2
17,37,4
17,47,2
17,13,2
17,46,4
17,9,2
17,35,4
17,50,2
17,3,4
17,29,4
17,42,2
17,19,4
17,48,2
18,16,4
18,29,2
18,20,4
18,33,2
18,3,4
18,10,2
18,21,4
18,23,2
18,43,4
18,4,2
18,27,4
18,38,4
18,14,4
18,8,2
18,36,2
18,39,4
18,1,2
18,42,4
18,19,2
18,49,2
18,11,4
18,50,4
19,2,2
19,1,2
19,23,2
19,39,2
19,31,2
19,42,4
19,40,2
19,17,4
19,4,4
19,26,2
19,34,4
19,25,2
19,28,4
19,12,2
19,16,4
19,3,2
19,8,4
19,50,2
19,13,4
19,5,2
20,9,4
20,20,2
20,40,4
20,15,4
20,14,4
20,21,2
20,1,2
20,6,4
20,25,2
20,22,4
20,28,4
20,41,2
20,4,2
20,10,2
20,37,2
20,49,2
20,31,4
20,5,2
20,35,4
21,13,4
21,2,2
21,40,4
21,4,2
21,7,4
21,38,2
21,14,4
21,19,2
21,45,4
21,48,2
21,36,2
21,11,4
21,37,2
21,32,4
21,50,2
21,49,4
21,10,4
21,34,2
21,16,4
22,48,2
22,36,4
22,4,2
22,38,4
22,50,2
22,34,4
22,14,2
22,43,4
22,49,2
22,8,4
22,33,2
22,27,4
22,5,4
22,47,4
22,30,2
22,44,2
22,45,4
